,nominal_gdp,money_supply,money_growth,nominal_gdp_growth,velocity,velocity_growth,qtm_inflation,regime
2015-01-01,1542.2171666666668,11788.8,,,1.5698464644408252,,,
2015-02-01,1546.7453333333335,11905.6,,,1.5590095417282626,,,
2015-03-01,1550.4936666666667,11903.7,,,1.5630370389038701,,,
2015-04-01,1558.4234166666668,11937.6,,,1.5665695784747353,,,
2015-05-01,1564.0534166666666,11965.0,,,1.568628583368157,,,
2015-06-01,1566.4264166666667,12005.6,,,1.565695758645965,,,
2015-07-01,1573.979916666667,12049.2,,,1.5675529495734157,,,
2015-08-01,1576.2523333333334,12093.7,,,1.56403978931179,,,
2015-09-01,1575.7044166666667,12154.8,,,1.5556367031954457,,,
2015-10-01,1574.8029166666665,12206.1,,,1.5482123692252232,,,
2015-11-01,1577.1895833333333,12297.5,,,1.53903435657654,,,
2015-12-01,1579.53025,12368.7,,,1.5324458512212278,,,
2016-01-01,1580.2017500000002,12506.0,0.06083740499457124,0.024629853793829204,1.5162658723812572,-0.03413110343797432,0.006706301556596923,Low
2016-02-01,1586.3453333333334,12578.2,0.05649442279263539,0.025602146097741585,1.5134235423192508,-0.029240359464687282,0.007254063327948108,Low
2016-03-01,1585.3770833333333,12629.0,0.060930635012643064,0.022498264531231937,1.5064157890569325,-0.0362251491408323,0.004705485871810761,Low
2016-04-01,1592.71225,12708.0,0.06453558504221957,0.02200225751655749,1.5039775731822473,-0.03995481985130189,0.0045807651909176746,Low
2016-05-01,1595.9586666666667,12775.0,0.0676974508984538,0.020399079507141815,1.4991392563600783,-0.04429941398802728,0.0033980369104265225,Low
2016-06-01,1602.222416666667,12835.4,0.06911774505230883,0.022852015019111827,1.4979407731741903,-0.04327468162165182,0.005843063430657009,Low
2016-07-01,1607.4935,12889.7,0.06975566842611958,0.021292256005595922,1.4965377006447007,-0.04530325367831478,0.0044524147478047955,Low
2016-08-01,1610.195,12973.9,0.07278169625507491,0.02153377726958694,1.4893239503927116,-0.04777106019275568,0.0050106360623192354,Low
2016-09-01,1615.2409166666666,13034.2,0.07235001809984554,0.025091317623921805,1.4870794525172237,-0.04407021931110133,0.008279798788744203,Low
2016-10-01,1626.4849166666665,13107.5,0.07384832174076883,0.032818074854340296,1.4890573335876407,-0.03820860549459737,0.01563971624617146,Low
2016-11-01,1628.2014166666668,13181.0,0.07184387070542786,0.03234350129647812,1.482316743797891,-0.03685272686492391,0.014991143840503946,Low
2016-12-01,1637.8861666666667,13226.1,0.06932013873729659,0.03694510862749656,1.4860490998858316,-0.030276274557056615,0.019043864180239973,Low
2017-01-01,1643.4638333333335,13300.7,0.06354549816088273,0.040034181289403836,1.4827464719901962,-0.02210654542954238,0.02143895273134035,Moderate
