Date,QTM_Inflation,CPI_Inflation,Difference,Abs_Diff,Year,Quarter
2016-01,0.6706301556596923,1.2375025026943876,-0.5668723470346952,0.5668723470346952,2016,Q1
2016-02,0.7254063327948108,0.8472775790126619,-0.12187124621785106,0.12187124621785106,2016,Q1
2016-03,0.4705485871810761,0.8916160965521946,-0.42106750937111853,0.42106750937111853,2016,Q1
2016-04,0.45807651909176744,1.1726257503534843,-0.7145492312617168,0.7145492312617168,2016,Q2
2016-05,0.33980369104265223,1.0784764621246223,-0.73867277108197,0.73867277108197,2016,Q2
2016-06,0.584306343065701,1.0792865347959424,-0.49498019173024144,0.49498019173024144,2016,Q2
2016-07,0.44524147478047954,0.8683633430518256,-0.42312186827134607,0.42312186827134607,2016,Q3
2016-08,0.5010636062319236,1.0553158595656864,-0.5542522533337628,0.5542522533337628,2016,Q3
2016-09,0.8279798788744204,1.5486446201652182,-0.7206647412907978,0.7206647412907978,2016,Q3
2016-10,1.563971624617146,1.685924966243646,-0.12195334162649996,0.12195334162649996,2016,Q4
2016-11,1.4991143840503947,1.6843334719788938,-0.18521908792849917,0.18521908792849917,2016,Q4
2016-12,1.9043864180239973,2.0507989115119862,-0.1464124934879889,0.1464124934879889,2016,Q4
2017-01,2.143895273134035,2.5103933482571117,-0.36649807512307664,0.36649807512307664,2017,Q1
2017-02,1.8944062312961325,2.8103616813294208,-0.9159554500332883,0.9159554500332883,2017,Q1
2017-03,2.2061582666795716,2.44119623655914,-0.23503796987956838,0.23503796987956838,2017,Q1
2017-04,2.2755332407147906,2.176223471915395,0.09930976879939557,0.09930976879939557,2017,Q2
2017-05,2.0838976239721325,1.8563431667619756,0.22755445721015688,0.22755445721015688,2017,Q2
2017-06,1.9440230253908526,1.640565809959127,0.30345721543172566,0.30345721543172566,2017,Q2
2017-07,2.2530598045992907,1.7251073506566073,0.5279524539426834,0.5279524539426834,2017,Q3
2017-08,2.231927625304166,1.92812155729698,0.3038060680071859,0.3038060680071859,2017,Q3
2017-09,2.5137066694153183,2.1805652303711787,0.3331414390441396,0.3331414390441396,2017,Q3
2017-10,2.603073204573993,2.020757753132485,0.5823154514415081,0.5823154514415081,2017,Q4
2017-11,2.9197202632809356,2.172493864295566,0.7472263989853696,0.7472263989853696,2017,Q4
2017-12,2.9332168154089473,2.129930719552253,0.8032860958566941,0.8032860958566941,2017,Q4
2018-01,3.257782304942071,2.151318868063945,1.1064634368781259,1.1064634368781259,2018,Q1
2018-02,3.2764691995402786,2.263468931091861,1.0130002684484176,1.0130002684484176,2018,Q1
2018-03,3.306788638723758,2.3309497646499366,0.9758388740738213,0.9758388740738213,2018,Q1
2018-04,3.26863220978464,2.4709963021052994,0.7976359076793407,0.7976359076793407,2018,Q2
2018-05,3.5929316272813385,2.781921607842497,0.8110100194388417,0.8110100194388417,2018,Q2
2018-06,3.4309220017421995,2.8075506935940187,0.6233713081481809,0.6233713081481809,2018,Q2
2018-07,3.796368571841892,2.854124785561929,0.9422437862799629,0.9422437862799629,2018,Q3
2018-08,3.815545190205484,2.6429238568742575,1.1726213333312265,1.1726213333312265,2018,Q3
2018-09,3.2139428258267,2.332055105808828,0.8818877200178723,0.8818877200178723,2018,Q3
2018-10,2.842574855853643,2.492032470218053,0.35054238563559004,0.35054238563559004,2018,Q4
2018-11,2.7883369658138886,2.147328577667773,0.6410083881461155,0.6410083881461155,2018,Q4
2018-12,1.6426091333658372,2.0023809043401064,-0.35977177097426916,0.35977177097426916,2018,Q4
2019-01,1.5680563630877682,1.4875893578291333,0.08046700525863493,0.08046700525863493,2019,Q1
2019-02,1.5582842980445117,1.5188615351321877,0.03942276291232405,0.03942276291232405,2019,Q1
2019-03,1.8721030793436362,1.8831863513063984,-0.011083271962762264,0.011083271962762264,2019,Q1
2019-04,2.0877267797101435,2.000583470209061,0.08714330950108273,0.08714330950108273,2019,Q2
2019-05,2.040710790472868,1.7959105553606136,0.24480023511225424,0.24480023511225424,2019,Q2
2019-06,2.2141339046209425,1.671194894390049,0.5429390102308935,0.5429390102308935,2019,Q2
2019-07,2.0230029463519945,1.826331335037068,0.1966716113149265,0.1966716113149265,2019,Q3
2019-08,2.1309807020552425,1.7376412106666406,0.3933394913886019,0.3933394913886019,2019,Q3
2019-09,2.3057266476360323,1.6844977040391562,0.6212289435968761,0.6212289435968761,2019,Q3
2019-10,2.0114461034911453,1.7339736996186295,0.2774724038725158,0.2774724038725158,2019,Q4
2019-11,2.1103157064366513,2.092290394862917,0.018025311573734548,0.018025311573734548,2019,Q4
2019-12,2.8675213920122196,2.3195274699624457,0.5479939220497738,0.5479939220497738,2019,Q4
2020-01,2.5716157377073574,2.599767976845202,-0.028152239137844592,0.028152239137844592,2020,Q1
2020-02,2.4010683391321415,2.3413166797595197,0.059751659372621724,0.059751659372621724,2020,Q1
2020-03,-2.095933826449379,1.4940399642909163,-3.5899737907402955,3.5899737907402955,2020,Q1
2020-04,-9.153507952026406,0.3130472940411133,-9.466555246067518,9.466555246067518,2020,Q2
2020-05,-3.66673044289617,0.1982013035848551,-3.864931746481025,3.864931746481025,2020,Q2
2020-06,-0.5554217107354691,0.7166562831830481,-1.2720779939185172,1.2720779939185172,2020,Q2
2020-07,2.096126968958891,0.9968647625897997,1.099262206369091,1.099262206369091,2020,Q3
2020-08,2.337593067836243,1.2810698495523853,1.0565232182838575,1.0565232182838575,2020,Q3
2020-09,3.281642933635444,1.3910228912373812,1.8906200423980626,1.8906200423980626,2020,Q3
2020-10,3.9492337415578795,1.2303863428671624,2.718847398690717,2.718847398690717,2020,Q4
